time,0 to 9,10 to 19,20 to 29,30 to 39,40 to 49,50 to 59,60 to 69,70 to 79,over 80
2020-03-01,0,3,2,6,7,8,12,9,5
2020-03-08,1,2,17,26,30,41,44,43,78
2020-03-15,8,16,90,131,132,162,147,153,117
2020-03-22,5,19,212,301,286,352,299,203,195
2020-03-29,10,44,341,427,459,523,424,246,275
2020-04-05,22,84,354,398,428,494,388,244,246
2020-04-12,20,69,279,306,351,408,284,167,176
2020-04-19,24,77,316,309,298,343,247,147,167
2020-04-26,30,70,343,288,303,292,215,105,138
2020-05-03,45,106,335,260,304,262,191,98,141
2020-05-10,48,113,286,308,302,249,144,76,112
2020-05-17,66,117,335,291,257,231,141,62,83
2020-05-24,79,162,346,336,309,220,137,73,82
2020-05-31,81,148,400,337,259,268,152,77,63
2020-06-07,92,226,507,445,349,285,161,86,41
2020-06-14,90,234,542,445,370,307,208,97,104
2020-06-21,153,308,770,567,463,348,219,101,95
2020-06-28,164,434,1156,746,564,483,235,145,113
2020-07-05,213,559,1381,853,604,523,267,129,129
2020-07-12,263,675,1479,1075,829,616,358,179,116
2020-07-19,253,656,1322,1073,879,698,368,217,165
2020-07-26,294,657,1295,986,810,672,429,205,169
2020-08-02,265,563,1004,846,734,613,403,234,197
2020-08-09,243,542,942,732,671,543,359,152,125
2020-08-16,187,457,869,672,598,512,303,149,101
2020-08-23,151,368,843,610,493,390,254,119,98
2020-08-30,132,451,854,474,429,360,264,91,72
2020-09-06,140,378,822,514,374,330,205,102,100
2020-09-13,120,328,626,421,336,286,201,107,74
2020-09-20,139,363,662,466,336,365,234,151,140
2020-09-27,165,454,787,540,449,423,294,132,93
2020-10-04,172,552,813,615,520,470,290,160,116
2020-10-11,217,519,873,765,588,496,373,201,153
2020-10-18,224,535,869,831,653,518,378,196,147
2020-10-25,251,536,1034,894,766,646,482,245,171
2020-11-01,370,708,1464,1296,1027,864,553,308,209
2020-11-08,569,1244,2468,2057,1672,1319,918,458,237
2020-11-15,815,1683,3238,2763,2389,1918,1292,630,384
2020-11-22,879,1920,3858,3622,2898,2350,1510,775,448
2020-11-29,788,1644,3174,3066,2375,2031,1394,727,476
2020-12-06,1034,2097,3927,3601,2915,2527,1626,816,513
2020-12-13,924,1789,3365,3066,2673,2202,1441,713,565
2020-12-20,816,1636,3184,3141,2603,2239,1514,781,502
2020-12-27,558,1259,2275,2125,1790,1596,1122,664,496
2021-01-03,861,1762,3341,3032,2429,2129,1417,796,524
2021-01-10,1053,2103,3855,3163,2523,2199,1450,728,546
2021-01-17,755,1440,2567,2120,1831,1618,1095,593,384
2021-01-24,645,1146,2040,1673,1491,1281,872,424,324
2021-01-31,575,1069,1508,1461,1248,1069,793,443,274
2021-02-07,481,964,1244,1189,954,950,610,298,223
2021-02-14,361,630,810,786,700,628,446,237,134
2021-02-21,336,566,874,806,703,579,400,196,110
2021-02-28,296,611,901,699,625,482,358,147,77
2021-03-07,273,587,789,700,555,453,323,126,76
2021-03-14,301,595,820,728,538,464,301,170,66
2021-03-21,360,620,893,759,628,499,364,128,56
2021-03-28,403,842,1305,1000,758,609,379,142,67
2021-04-04,404,861,1279,1088,833,651,390,135,67
2021-04-11,85,184,340,274,192,188,81,43,22
