time,dose1,dose2
2020-12-15,24,1
2020-12-16,1822,0
2020-12-17,2171,1
2020-12-18,8657,2
2020-12-19,5970,0
2020-12-20,4076,2
2020-12-21,7975,1
2020-12-22,6860,2
2020-12-23,8400,3
2020-12-24,6215,5
2020-12-25,286,0
2020-12-26,7383,4
2020-12-27,5393,3
2020-12-28,10135,13
2020-12-29,14660,13
2020-12-30,14673,11
2020-12-31,10313,14
2021-01-01,1988,26
2021-01-02,10851,49
2021-01-03,6119,77
2021-01-04,10379,1429
2021-01-05,11601,1515
2021-01-06,14336,3094
2021-01-07,14697,3751
2021-01-08,15447,6048
2021-01-09,9570,4649
2021-01-10,5995,2849
2021-01-11,11905,5906
2021-01-12,14050,5982
2021-01-13,17330,4421
2021-01-14,20088,3962
2021-01-15,19716,4549
2021-01-16,19576,2844
2021-01-17,8309,2066
2021-01-18,14616,5541
2021-01-19,22298,5476
2021-01-20,27669,6317
2021-01-21,34002,5506
2021-01-22,35515,5405
2021-01-23,31504,5344
2021-01-24,17540,3167
2021-01-25,22371,6458
2021-01-26,30144,9758
2021-01-27,29382,9171
2021-01-28,29919,8777
2021-01-29,30081,9710
2021-01-30,25776,9590
2021-01-31,14314,5708
2021-02-01,18591,10021
2021-02-02,24863,10968
2021-02-03,26227,13259
2021-02-04,28418,14596
2021-02-05,24862,16501
2021-02-06,22454,11043
2021-02-07,5882,5112
2021-02-08,13210,14008
2021-02-09,20631,15888
2021-02-10,23799,19106
2021-02-11,30488,19876
2021-02-12,25451,21158
2021-02-13,8511,6920
2021-02-14,3165,3914
2021-02-15,13125,19001
2021-02-16,19023,21106
2021-02-17,16923,22827
2021-02-18,15506,26613
2021-02-19,11708,21367
2021-02-20,8969,22643
2021-02-21,5498,10151
2021-02-22,7112,12153
2021-02-23,13788,30136
2021-02-24,21240,34199
2021-02-25,29712,37626
2021-02-26,32659,38748
2021-02-27,30967,37844
2021-02-28,15975,13830
2021-03-01,21416,15664
2021-03-02,35277,24400
2021-03-03,37749,25441
2021-03-04,41545,28302
2021-03-05,41976,24050
2021-03-06,39977,19875
2021-03-07,20319,5485
2021-03-08,21177,12017
2021-03-09,32042,20809
2021-03-10,37700,16678
2021-03-11,36081,22386
2021-03-12,38747,25197
2021-03-13,39771,12296
2021-03-14,11710,7342
2021-03-15,25984,17265
2021-03-16,50176,26309
2021-03-17,39615,20859
2021-03-18,46980,20296
2021-03-19,45010,19449
2021-03-20,48106,17460
2021-03-21,15901,7583
2021-03-22,25653,10060
2021-03-23,35414,24161
2021-03-24,42541,29547
2021-03-25,37645,36769
2021-03-26,41107,40620
2021-03-27,36779,37013
2021-03-28,10144,19674
2021-03-29,21118,23390
2021-03-30,33195,32141
2021-03-31,46485,37465
2021-04-01,45523,33180
2021-04-02,42739,39101
2021-04-03,35674,39556
2021-04-04,8154,6982
2021-04-05,29004,17516
2021-04-06,40860,25988
2021-04-07,45611,31488
2021-04-08,35194,28951
2021-04-09,40886,31781
2021-04-10,36191,36165
2021-04-11,13183,10012
2021-04-12,23529,18167
2021-04-13,34413,32241
2021-04-14,37160,35357
2021-04-15,44181,36266
2021-04-16,49369,42467
2021-04-17,42576,38489
2021-04-18,20698,10117
2021-04-19,26813,22561
2021-04-20,40908,30039
2021-04-21,42078,42704
2021-04-22,41395,37415
2021-04-23,37216,43251
2021-04-24,47094,37413
2021-04-25,18585,10635
2021-04-26,23838,22361
2021-04-27,34514,34786
2021-04-28,32723,42425
2021-04-29,31372,33597
2021-04-30,32661,39984
2021-05-01,25040,32924
2021-05-02,9424,8485
2021-05-03,15849,22838
2021-05-04,22713,31583
2021-05-05,22382,35709
2021-05-06,20456,38699
2021-05-07,19952,41920
2021-05-08,14820,43314
2021-05-09,4326,11311
2021-05-10,10985,25068
2021-05-11,15275,35665
2021-05-12,14794,35427
2021-05-13,21728,35581
2021-05-14,27690,39575
2021-05-15,24371,39240
2021-05-16,9589,16101
2021-05-17,20301,23021
2021-05-18,24781,34493
2021-05-19,25398,32634
2021-05-20,19952,31361
2021-05-21,21996,30262
2021-05-22,8058,22213
